m_planet,time,a
0.00030027,2406000.0,1.1652928316393467
0.00030027,2406000.0,0.9912763835461846
0.00030027,2406000.0,0.9929055025336863
0.00030027,2406000.0,0.8499332227546872
0.00030027,2406000.0,1.0104094706701048
0.00030027,2406000.0,1.000292204662028
0.00030027,2406000.0,0.9950682295685457
0.00030027,2406000.0,0.9850889978381189
0.00030027,2406000.0,0.8393205743221845
0.00030027,2406000.0,0.8552889266094837
0.00030027,2406000.0,1.0146540359084948
0.00030027,2406000.0,1.174948303902243
0.00030027,2406000.0,0.9867056112663134
0.00030027,2406000.0,0.8545499088905579
0.00030027,2406000.0,1.0159314163884237
0.00030027,2406000.0,0.9846438502110099
0.00030027,2406000.0,0.8470366403491525
0.00030027,2406000.0,1.0149201006099202
0.00030027,2406000.0,0.9883705722837475
0.00030027,2406000.0,1.0226098901513003
0.00030027,2406000.0,1.0178203117326428
0.00030027,2406000.0,1.0085108655272692
0.00030027,2406000.0,0.9866033265517836
0.00030027,2406000.0,0.8424176448060179
0.00030027,2406000.0,0.9982319991131414
0.00030027,2406000.0,0.8442523419439626
0.00030027,2406000.0,0.9873019300179471
0.00030027,2406000.0,0.9853095917105258
0.00030027,2406000.0,1.016550803097407
0.00030027,2406000.0,0.9670665440236235
0.00030027,2406000.0,0.9731615826380885
0.00030027,2406000.0,0.8551504877144934
0.00030027,2406000.0,0.9949819712209865
0.00030027,2406000.0,20207.50820078782
0.00030027,2406000.0,0.99641555403204
0.00030027,2406000.0,0.721068025194616
0.00030027,2406000.0,0.9835193361889468
0.00030027,2406000.0,0.9794303040886568
0.00030027,2406000.0,0.9990941729317281
0.00030027,2406000.0,-6163.11318564109
0.00030027,2406000.0,0.8572386970081051
0.00030027,2406000.0,1.0018832222231249
0.00030027,2406000.0,0.9980890640591243
0.00030027,2406000.0,0.8452073006222907
0.00030027,2406000.0,0.855074900788828
0.00030027,2406000.0,0.8433798821464675
0.00030027,2406000.0,-2501.422629158645
0.00030027,2406000.0,1.0143899919440695
0.00030027,2406000.0,0.85105838683244
0.00030027,2406000.0,1.0211615889467265
0.00030027,2406000.0,0.9941898076638649
0.00030027,2406000.0,0.9731408675005667
0.00030027,2406000.0,17477.72923961285
0.00030027,2406000.0,0.9941413644233055
0.00030027,2406000.0,0.9850920021314548
0.00030027,2406000.0,0.9945621615581937
0.00030027,2406000.0,0.9769902569514772
0.00030027,2406000.0,1.0155658207428857
0.00030027,2406000.0,-731.5256379350994
0.00030027,2406000.0,0.9713921518322132
0.00030027,2406000.0,1.0062402190063313
0.00030027,2406000.0,0.8482273392659013
0.00030027,2406000.0,0.8423529728069368
0.00030027,2406000.0,0.9739716908677691
0.00030027,2406000.0,15250.527236414106
0.00030027,2406000.0,1.0205327997167377
0.00030027,2406000.0,0.9991489101999711
0.00030027,2406000.0,0.9914314258651614
0.00030027,2406000.0,0.9877392297126161
0.00030027,2406000.0,0.8491039852068967
0.00030027,2406000.0,0.7480865154771117
0.00030027,2406000.0,1.008167016894251
0.00030027,2406000.0,1.0270833110446045
0.00030027,2406000.0,0.9829801249377619
0.00030027,2406000.0,1.0199747575008766
0.00030027,2406000.0,0.8520723867302383
0.00030027,2406000.0,1.0142536260392685
0.00030027,2406000.0,1.0304028764462314
0.00030027,2406000.0,0.9799520864510012
0.00030027,2406000.0,0.9847383672971433
0.00030027,2406000.0,0.9940329262662353
0.00030027,2406000.0,1.0068325491150838
0.00030027,2406000.0,-4433.733409073604
0.00030027,2406000.0,1.0349828968893027
0.00030027,2406000.0,10792.6102559595
0.00030027,2406000.0,0.970157755808257
0.00030027,2406000.0,1.012030456562608
0.00030027,2406000.0,23321.21759532674
0.00030027,2406000.0,0.6618391766893746
0.00030027,2406000.0,0.9752110261754496
0.00030027,2406000.0,1.0015784053181918
0.00030027,2406000.0,1.0177689482433114
0.00030027,2406000.0,1.0018767256385468
0.00030027,2406000.0,0.9969327941605743
0.00030027,2406000.0,0.9938941034823885
0.00030027,2406000.0,1.0128932026269755
0.00030027,2406000.0,1.0319525100362885
0.00030027,2406000.0,13732.049394040352
0.00030027,2406000.0,0.8517889548517196
0.00030027,2406000.0,27416.275223494144
0.00030027,2406000.0,0.9913034274935916
0.00030027,2406000.0,0.8511556406071291
0.00030027,2406000.0,0.671381322892996
0.00030027,2406000.0,0.983993745711108
0.00030027,2406000.0,0.8402610870000807
0.00030027,2406000.0,4.252250054080061
0.00030027,2406000.0,0.9941094189616028
0.00030027,2406000.0,0.968287434126674
0.00030027,2406000.0,1.1614524230950658
0.00030027,2406000.0,0.8463971891759705
0.00030027,2406000.0,0.9740319100517193
0.00030027,2406000.0,0.9996975316832257
0.00030027,2406000.0,0.8547065172955406
0.00030027,2406000.0,0.6562296977696546
0.00030027,2406000.0,0.6586683050613598
0.00030027,2406000.0,0.9669538804220921
0.00030027,2406000.0,11249.477956826855
0.00030027,2406000.0,1.0103551731769285
0.00030027,2406000.0,0.8518887412411632
0.00030027,2406000.0,0.9734480770285981
0.00030027,2406000.0,0.8573054824170026
0.00030027,2406000.0,1.0315767944252938
0.00030027,2406000.0,1.0324540755219673
0.00030027,2406000.0,0.9984394527231311
0.00030027,2406000.0,0.9772619661452038
0.00030027,2406000.0,0.9878602402386615
0.00030027,2406000.0,-5145.388672260731
0.00030027,2406000.0,1.0255128387276826
0.00030027,2406000.0,1.0218491347287282
0.00030027,2406000.0,0.8528737892171006
