0.01,64677.41736364929,Ejected,118
0.01,76617.86364616916,Ejected,70
0.01,64677.41736364929,Captured,185
0.01,65672.45455385928,Ejected,19
0.01,90548.38430910901,Ejected,41
0.01,71642.67769511922,Ejected,40
0.01,78607.93802658914,Ejected,19
0.01,67662.52893427927,Ejected,56
0.01,79602.97521679912,Ejected,181
0.01,73632.7520755392,Ejected,176
0.01,68657.56612448925,Ejected,61
0.01,82588.0867874291,Ejected,52
0.01,96518.60745036895,Ejected,42
0.01,69652.60331469924,Ejected,165
0.01,70647.64050490923,Ejected,107
0.01,98508.68183078892,Ejected,128
0.01,101493.7934014189,Ejected,72
0.01,80598.01240700913,Ejected,89
0.01,87563.27273847905,Ejected,107
0.01,81593.04959721911,Ejected,32
0.01,89553.34711889902,Ejected,30
0.01,104478.90497204885,Ejected,61
0.01,76617.86364616916,Ejected,31
0.01,83583.12397763909,Ejected,68
0.01,108459.05373288882,Ejected,104
0.01,93533.49587973898,Ejected,104
0.01,109454.0909230988,Ejected,168
0.01,110449.12811330879,Ejected,32
0.01,111444.16530351879,Ejected,2
0.01,94528.53306994897,Ejected,195
0.01,113434.23968393877,Ejected,55
0.01,89553.34711889902,Ejected,73
0.01,89553.34711889902,Ejected,148
0.01,97513.64464057893,Ejected,111
0.01,99503.71902099892,Ejected,144
0.01,102488.83059162888,Ejected,196
0.01,90548.38430910901,Ejected,194
0.01,107464.01654267883,Ejected,129
0.01,99503.71902099892,Ejected,97
0.01,99503.71902099892,Ejected,103
0.01,109454.0909230988,Ejected,68
0.01,93533.49587973898,Ejected,92
0.01,95523.57026015896,Ejected,196
0.01,133334.98348813853,Ejected,111
0.01,97513.64464057893,Ejected,55
0.01,135325.05786855854,Captured,39
0.01,116419.35125456873,Ejected,34
0.01,98508.68183078892,Ejected,181
0.01,119404.4628251987,Ejected,36
0.01,101493.7934014189,Ejected,50
0.01,105473.94216225886,Ejected,198
0.01,126369.72315666862,Ejected,40
0.01,116419.35125456873,Ejected,76
0.01,151245.65291191835,Ejected,9
0.01,130349.87191750857,Ejected,166
0.01,120399.50001540869,Ejected,190
0.01,133334.98348813853,Ejected,12
0.01,118409.42563498871,Ejected,75
0.01,121394.53720561868,Ejected,94
0.01,128359.7975370886,Ejected,163
0.01,152240.69010212834,Ejected,170
0.01,152240.69010212834,Ejected,173
0.01,138310.1694391885,Ejected,45
0.01,140300.24381960847,Ejected,59
0.01,167166.24795527817,Ejected,64
0.01,175126.5454769581,Ejected,65
0.01,152240.69010212834,Ejected,133
0.005011872336272725,2992.5103327089464,Captured,60
0.005011872336272725,3990.0137769452617,Captured,190
0.005011872336272725,6982.524109654208,Captured,127
0.005011872336272725,16957.558552017363,Captured,138
0.005011872336272725,24937.586105907885,Ejected,173
0.005011872336272725,25935.089550144203,Ejected,79
0.005011872336272725,24937.586105907885,Ejected,136
0.005011872336272725,25935.089550144203,Ejected,38
0.005011872336272725,25935.089550144203,Ejected,144
0.005011872336272725,25935.089550144203,Ejected,49
0.005011872336272725,27930.09643861683,Ejected,121
0.005011872336272725,27930.09643861683,Ejected,32
0.005011872336272725,27930.09643861683,Ejected,99
0.005011872336272725,27930.09643861683,Ejected,46
0.005011872336272725,27930.09643861683,Ejected,163
0.005011872336272725,28927.59988285315,Ejected,168
0.005011872336272725,27930.09643861683,Ejected,181
0.005011872336272725,27930.09643861683,Ejected,196
0.005011872336272725,28927.59988285315,Ejected,8
0.005011872336272725,28927.59988285315,Ejected,19
0.005011872336272725,29925.103327089462,Ejected,75
0.005011872336272725,28927.59988285315,Ejected,122
0.005011872336272725,29925.103327089462,Ejected,29
0.005011872336272725,29925.103327089462,Ejected,172
0.005011872336272725,29925.103327089462,Ejected,194
0.005011872336272725,30922.60677132578,Ejected,39
0.005011872336272725,30922.60677132578,Ejected,76
0.005011872336272725,30922.60677132578,Ejected,45
0.005011872336272725,29925.103327089462,Ejected,168
0.005011872336272725,25935.089550144203,Ejected,57
0.005011872336272725,30922.60677132578,Ejected,162
0.005011872336272725,31920.110215562094,Ejected,64
0.005011872336272725,31920.110215562094,Ejected,83
0.005011872336272725,32917.61365979841,Ejected,73
0.005011872336272725,26932.592994380517,Ejected,113
0.005011872336272725,32917.61365979841,Ejected,146
0.005011872336272725,33915.117104034725,Ejected,37
0.005011872336272725,32917.61365979841,Ejected,25
0.005011872336272725,32917.61365979841,Ejected,29
0.005011872336272725,32917.61365979841,Ejected,127
0.005011872336272725,32917.61365979841,Ejected,43
0.005011872336272725,33915.117104034725,Ejected,97
0.005011872336272725,32917.61365979841,Ejected,109
0.005011872336272725,33915.117104034725,Ejected,180
0.005011872336272725,33915.117104034725,Ejected,186
0.005011872336272725,33915.117104034725,Ejected,97
0.005011872336272725,33915.117104034725,Ejected,107
0.005011872336272725,33915.117104034725,Ejected,36
0.005011872336272725,34912.62054827104,Ejected,95
0.005011872336272725,34912.62054827104,Ejected,110
0.005011872336272725,34912.62054827104,Ejected,154
0.005011872336272725,33915.117104034725,Ejected,195
0.005011872336272725,34912.62054827104,Ejected,30
0.005011872336272725,33915.117104034725,Ejected,154
0.005011872336272725,35910.12399250735,Ejected,111
0.005011872336272725,35910.12399250735,Ejected,138
0.005011872336272725,34912.62054827104,Ejected,189
0.005011872336272725,34912.62054827104,Ejected,105
0.005011872336272725,35910.12399250735,Ejected,193
0.005011872336272725,34912.62054827104,Ejected,171
0.005011872336272725,29925.103327089462,Ejected,88
0.005011872336272725,29925.103327089462,Ejected,110
0.005011872336272725,35910.12399250735,Ejected,60
0.005011872336272725,36907.62743674367,Ejected,137
0.005011872336272725,36907.62743674367,Ejected,195
0.005011872336272725,30922.60677132578,Ejected,18
0.005011872336272725,36907.62743674367,Ejected,50
0.005011872336272725,36907.62743674367,Ejected,89
0.005011872336272725,37905.13088097999,Ejected,94
0.005011872336272725,36907.62743674367,Ejected,42
0.005011872336272725,36907.62743674367,Ejected,115
0.005011872336272725,36907.62743674367,Ejected,120
0.005011872336272725,38902.6343252163,Ejected,33
0.005011872336272725,37905.13088097999,Ejected,57
0.005011872336272725,37905.13088097999,Ejected,39
0.005011872336272725,38902.6343252163,Ejected,192
0.005011872336272725,37905.13088097999,Ejected,141
0.005011872336272725,32917.61365979841,Ejected,33
0.005011872336272725,38902.6343252163,Ejected,58
0.005011872336272725,38902.6343252163,Ejected,157
0.005011872336272725,38902.6343252163,Ejected,179
0.005011872336272725,38902.6343252163,Ejected,163
0.005011872336272725,40897.641213688934,Ejected,54
0.005011872336272725,39900.137769452616,Ejected,21
0.005011872336272725,39900.137769452616,Ejected,64
0.005011872336272725,39900.137769452616,Ejected,89
0.005011872336272725,39900.137769452616,Ejected,102
0.005011872336272725,39900.137769452616,Ejected,164
0.005011872336272725,41895.14465792525,Ejected,64
0.005011872336272725,40897.641213688934,Ejected,93
0.005011872336272725,41895.14465792525,Ejected,105
0.005011872336272725,40897.641213688934,Ejected,110
0.005011872336272725,40897.641213688934,Ejected,170
0.005011872336272725,40897.641213688934,Ejected,94
0.005011872336272725,41895.14465792525,Ejected,13
0.005011872336272725,42892.64810216156,Ejected,67
0.005011872336272725,34912.62054827104,Ejected,177
0.005011872336272725,41895.14465792525,Ejected,137
0.005011872336272725,43890.15154639788,Ejected,126
0.005011872336272725,44887.6549906342,Ejected,10
0.005011872336272725,44887.6549906342,Ejected,29
0.005011872336272725,42892.64810216156,Ejected,134
0.005011872336272725,36907.62743674367,Ejected,82
0.005011872336272725,36907.62743674367,Ejected,133
0.005011872336272725,44887.6549906342,Ejected,88
0.005011872336272725,45885.15843487051,Ejected,178
0.005011872336272725,44887.6549906342,Ejected,161
0.005011872336272725,37905.13088097999,Ejected,103
0.005011872336272725,44887.6549906342,Ejected,140
0.005011872336272725,46882.661879106825,Ejected,87
0.005011872336272725,45885.15843487051,Ejected,31
0.005011872336272725,45885.15843487051,Ejected,55
0.005011872336272725,38902.6343252163,Ejected,94
0.005011872336272725,46882.661879106825,Ejected,94
0.005011872336272725,46882.661879106825,Ejected,40
0.005011872336272725,46882.661879106825,Ejected,96
0.005011872336272725,48877.66876757945,Ejected,133
0.005011872336272725,47880.16532334314,Ejected,102
0.005011872336272725,48877.66876757945,Ejected,162
0.005011872336272725,49875.17221181577,Ejected,3
0.005011872336272725,47880.16532334314,Ejected,176
0.005011872336272725,48877.66876757945,Ejected,23
0.005011872336272725,48877.66876757945,Ejected,34
0.005011872336272725,48877.66876757945,Ejected,90
0.005011872336272725,48877.66876757945,Ejected,125
0.005011872336272725,50872.67565605209,Ejected,86
0.005011872336272725,49875.17221181577,Ejected,108
0.005011872336272725,50872.67565605209,Ejected,181
0.005011872336272725,41895.14465792525,Ejected,115
0.005011872336272725,49875.17221181577,Ejected,44
0.005011872336272725,49875.17221181577,Ejected,86
0.005011872336272725,50872.67565605209,Ejected,0
0.005011872336272725,50872.67565605209,Ejected,31
0.005011872336272725,42892.64810216156,Ejected,9
0.005011872336272725,42892.64810216156,Ejected,13
0.005011872336272725,52867.682544524716,Ejected,17
0.005011872336272725,52867.682544524716,Ejected,68
0.005011872336272725,52867.682544524716,Ejected,70
0.005011872336272725,42892.64810216156,Ejected,159
0.005011872336272725,51870.179100288406,Ejected,111
0.005011872336272725,53865.18598876103,Ejected,26
0.005011872336272725,51870.179100288406,Ejected,73
0.005011872336272725,52867.682544524716,Ejected,17
0.005011872336272725,52867.682544524716,Ejected,139
0.005011872336272725,44887.6549906342,Ejected,15
0.005011872336272725,54862.68943299735,Ejected,77
0.005011872336272725,44887.6549906342,Ejected,139
0.005011872336272725,53865.18598876103,Ejected,9
0.005011872336272725,53865.18598876103,Ejected,156
0.005011872336272725,45885.15843487051,Ejected,87
0.005011872336272725,54862.68943299735,Ejected,41
0.005011872336272725,54862.68943299735,Ejected,171
0.005011872336272725,45885.15843487051,Ejected,196
0.005011872336272725,46882.661879106825,Ejected,6
0.005011872336272725,56857.69632146998,Ejected,147
0.005011872336272725,55860.19287723366,Ejected,87
0.005011872336272725,55860.19287723366,Ejected,126
0.005011872336272725,55860.19287723366,Ejected,181
